<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SELG;D;02/08/21;000000;43.8300000;44.2100000;43.6000000;43.7700000;34700
SELG;D;03/08/21;000000;43.9500000;43.9800000;43.6000000;43.7900000;62100
SELG;D;04/08/21;000000;43.7000000;44.1300000;43.2500000;43.8600000;43900
SELG;D;05/08/21;000000;43.6800000;44.7700000;43.6700000;44.1700000;104300
SELG;D;06/08/21;000000;44.3300000;44.5400000;43.9100000;43.9100000;66000
SELG;D;09/08/21;000000;43.8100000;43.9900000;43.2500000;43.7200000;55800
SELG;D;10/08/21;000000;44.0200000;44.0300000;43.2100000;43.5400000;83500
SELG;D;11/08/21;000000;43.1000000;43.7400000;42.9900000;43.6400000;54900
SELG;D;12/08/21;000000;43.8400000;43.8900000;43.4100000;43.7900000;49800
SELG;D;13/08/21;000000;44.0700000;44.0700000;43.3000000;43.8000000;48400
SELG;D;16/08/21;000000;44.0900000;44.0900000;43.3500000;43.7700000;31500
SELG;D;17/08/21;000000;43.9500000;44.2800000;43.7800000;44.2400000;36600
SELG;D;18/08/21;000000;44.1700000;44.8800000;44.0200000;44.0800000;100300
SELG;D;19/08/21;000000;43.8400000;45.0000000;43.1100000;44.0200000;149700
SELG;D;20/08/21;000000;44.0300000;44.0400000;43.6600000;43.8700000;39100
SELG;D;23/08/21;000000;43.7200000;44.4000000;43.4400000;43.9900000;59200
SELG;D;24/08/21;000000;44.2000000;44.3800000;44.0000000;44.2600000;28600
SELG;D;25/08/21;000000;44.0600000;44.4700000;43.7000000;44.0000000;58400
SELG;D;26/08/21;000000;44.0700000;44.0700000;40.1000000;43.2900000;267400
SELG;D;27/08/21;000000;43.5000000;43.6700000;43.3000000;43.6100000;35900
SELG;D;30/08/21;000000;43.8100000;43.8900000;42.7800000;43.1400000;126200
SELG;D;31/08/21;000000;43.3900000;43.6900000;42.9300000;43.6200000;97600
SELG;D;01/09/21;000000;43.6100000;43.8100000;43.4500000;43.6500000;74200
SELG;D;02/09/21;000000;43.6900000;43.9000000;43.3300000;43.7200000;82400
SELG;D;03/09/21;000000;43.3800000;44.1000000;43.3800000;44.0000000;83800
SELG;D;06/09/21;000000;44.1200000;45.7900000;44.0400000;45.0000000;325300
SELG;D;07/09/21;000000;45.4300000;45.4400000;44.4300000;44.5200000;79000
SELG;D;08/09/21;000000;44.9800000;44.9800000;44.3900000;44.8800000;71800
SELG;D;09/09/21;000000;44.7400000;44.7400000;44.4000000;44.4900000;39300
SELG;D;10/09/21;000000;44.4000000;45.5600000;44.4000000;45.5000000;134500
SELG;D;13/09/21;000000;45.5400000;45.9800000;44.4600000;45.0100000;458300
SELG;D;14/09/21;000000;44.5400000;45.2000000;44.2200000;44.7900000;231700
SELG;D;15/09/21;000000;44.5500000;45.1000000;44.4100000;44.6600000;67400
SELG;D;16/09/21;000000;44.6600000;44.9700000;44.1500000;44.5100000;107300
SELG;D;17/09/21;000000;44.3900000;44.7800000;44.0000000;44.0000000;489500
SELG;D;20/09/21;000000;44.2900000;44.3000000;43.1100000;43.6800000;208300
SELG;D;21/09/21;000000;43.7900000;44.1800000;43.5000000;44.0000000;55500
SELG;D;22/09/21;000000;44.0200000;44.0500000;43.5000000;43.8500000;109800
SELG;D;23/09/21;000000;43.7000000;44.7100000;43.7000000;44.5000000;110000
SELG;D;24/09/21;000000;44.4900000;45.2000000;44.3700000;45.0200000;128200
SELG;D;27/09/21;000000;44.8000000;45.6000000;44.8000000;45.1500000;97600
SELG;D;28/09/21;000000;45.2800000;46.9400000;45.0900000;45.8000000;907300
SELG;D;29/09/21;000000;45.5400000;46.2000000;45.5400000;45.6900000;105400
SELG;D;30/09/21;000000;47.2600000;47.3000000;44.6400000;45.6200000;377300
SELG;D;01/10/21;000000;45.7500000;45.8000000;45.1200000;45.2100000;79300
